08 12 2018 13 44 00 00000000 00110000    0.296    0.283    0.063    22    21    22  13.7 1522.0 1522.1 295.0 -22.8  29.3   0.000   0.000  20.23     0 15220    0.410    46.29
08 12 2018 13 45 00 00000000 00110000   -0.180   -0.122    0.021    22    21    22  13.7 1522.0 1522.1 299.0 -22.8  29.2   0.000   0.000  20.23     0 15220    0.217   235.87
08 12 2018 13 46 00 00000000 00110000    0.284   -0.187    0.025    22    21    22  13.7 1522.1 1522.1 298.5 -22.8  29.2   0.000   0.000  20.24     0 15221    0.340   123.36
08 12 2018 13 47 00 00000000 00110000    0.101    0.108    0.330    22    21    22  13.7 1522.1 1522.1 298.7 -22.8  29.2   0.000   0.000  20.24     0 15221    0.148    43.08
08 12 2018 13 49 00 00000000 00100000    0.015    0.322    0.070    22    21    22  13.7 1522.1 1522.2 298.8 -22.8  29.2   0.000   0.000  20.25     0 15221    0.322     2.67
08 12 2018 13 50 00 00000000 00110000    0.045   -0.077    0.002    22    21    22  13.7 1522.1 1522.2 148.2 -23.1 -25.9   0.000   0.000  20.25     0 15221    0.089   149.70
08 12 2018 13 51 00 00000000 00111001   -0.125    0.045    0.079    22    21    22  13.7 1522.1 1522.2  76.9 -28.7 -36.7   0.000   0.000  20.25     0 15221    0.133   289.80
08 12 2018 13 52 00 00000000 00111101    0.041   -0.238   -0.270    22    21    22  13.7 1522.1 1522.1 316.4 -30.1  33.5   0.000   0.000  20.24     0 15221    0.242   170.23
08 12 2018 13 53 00 00000000 00111001   -0.167    0.054   -0.037    22    21    22  13.7 1522.0 1522.0  24.3 -28.5 -38.9   0.000   0.000  20.20     0 15220    0.176   287.92
08 12 2018 13 54 00 00000000 00111101   -0.164    0.064    0.092    22    21    22  13.7 1521.8 1521.8 105.3  39.3 -32.6   0.000   0.000  20.14     0 15218    0.176   291.32
08 12 2018 13 55 00 00000000 00111101    0.076    0.181    0.166    22    21    22  13.7 1521.5 1521.6 112.0  38.9 -31.9   0.000   0.000  20.06     0 15215    0.196    22.78
08 12 2018 13 56 00 00000000 00111101   -0.105   -0.009    0.072    22    21    22  13.7 1521.2 1521.3 111.3  39.0 -30.3   0.000   0.000  19.94     0 15212    0.105   265.10
08 12 2018 13 57 00 00000000 00111101    0.045    0.160    0.191    22    21    22  13.7 1520.8 1520.9 112.7  38.6 -30.8   0.000   0.000  19.79     0 15208    0.166    15.71
08 12 2018 13 58 00 00000000 00111101   -0.118    0.211    0.157    22    21    22  13.7 1520.3 1520.4 107.6  39.4 -31.5   0.000   0.000  19.61     0 15203    0.242   330.78
08 12 2018 13 59 00 00000000 00111101    0.484   -0.061   -0.325    22    21    22  13.7 1519.8 1519.8 112.2  38.8 -31.4   0.000   0.000  19.42     0 15198    0.488    97.18
08 12 2018 14 00 00 00000000 00110100   -0.208   -0.125    0.068    23    21    22  13.7 1519.2 1519.3  68.7  40.7 -29.9   0.000   0.000  19.22     0 15192    0.243   239.00
08 12 2018 14 01 00 00000000 00110100    0.068    0.068   -0.152    23    21    22  13.7 1518.6 1518.6  62.2  40.7 -28.4   0.000   0.000  18.99     0 15186    0.096    45.00
08 12 2018 14 02 00 00000000 00110100   -0.010   -0.153    0.060    22    21    22  13.7 1517.8 1517.8  62.6  40.6 -28.3   0.039   0.039  18.71     0 15178    0.153   183.74
08 12 2018 14 03 00 00000000 00110100    0.277   -0.004   -0.013    22    21    22  13.7 1516.8 1516.9  61.6  40.6 -28.2   0.189   0.188  18.39     0 15168    0.277    90.83
08 12 2018 14 04 00 00000000 00110100   -0.088    0.004   -0.007    22    21    22  13.7 1515.8 1515.9  59.3  40.7 -28.5   0.401   0.399  18.05     0 15158    0.088   272.60
08 12 2018 14 05 00 00000000 00110100    0.387    0.015   -0.181    22    21    22  13.7 1514.9 1515.0  59.9  40.6 -27.6   0.550   0.547  17.72     0 15149    0.387    87.78
08 12 2018 14 06 00 00000000 00110100    0.034   -0.169    0.000    22    21    22  13.7 1513.9 1514.0  54.0  39.8 -27.9   0.706   0.702  17.40     0 15139    0.172   168.62
08 12 2018 14 07 00 00000000 00110100   -0.217   -0.006    0.297    23    21    22  13.7 1513.1 1513.2  50.9  40.2 -28.1   0.841   0.836  17.12     0 15131    0.217   268.42
08 12 2018 14 08 00 00000000 00110100   -0.036   -0.008    0.163    22    21    22  13.7 1512.5 1512.5  44.7  40.0 -28.1   0.904   0.899  16.88     0 15125    0.037   257.47
08 12 2018 14 09 00 00000000 00110100    0.010   -0.167    0.240    22    21    22  13.7 1512.0 1512.1  46.9  40.6 -28.0   1.014   1.008  16.74     0 15120    0.167   176.57
08 12 2018 14 10 00 00000000 00110100   -0.111    0.171    0.006    22    21    22  13.7 1511.8 1511.8  47.9  40.6 -27.9   0.947   0.942  16.67     0 15118    0.204   327.01
08 12 2018 14 11 00 00000000 00110100    0.147   -0.113   -0.046    22    21    22  13.7 1511.7 1511.7  47.1  40.6 -27.8   0.925   0.920  16.64     0 15117    0.185   127.55
08 12 2018 14 12 00 00000000 00110100   -0.145   -0.359    0.043    22    21    22  13.7 1511.7 1511.7  47.7  40.7 -27.8   0.924   0.919  16.63     0 15117    0.387   201.99
08 12 2018 14 13 00 00000000 00110100    0.017   -0.071    0.022    22    21    22  13.7 1511.6 1511.6  48.3  40.7 -27.8   0.851   0.846  16.60     0 15116    0.073   166.53
08 12 2018 14 14 00 00000000 00110100    0.151    0.130    0.015    22    21    22  13.7 1511.5 1511.6  47.2  40.7 -27.8   0.852   0.847  16.58     0 15115    0.199    49.27
08 12 2018 14 15 00 00000000 00110100   -0.006    0.159    0.104    22    21    22  13.7 1511.4 1511.4  48.6  40.7 -27.8   0.868   0.863  16.54     0 15114    0.159   357.84
08 12 2018 14 16 00 00000000 00110100   -0.211   -0.271    0.191    22    21    22  13.7 1511.4 1511.4  48.2  40.7 -27.7   0.922   0.917  16.54     0 15114    0.343   217.90
08 12 2018 14 17 00 00000000 00110100   -0.019   -0.034   -0.011    22    21    22  13.7 1511.4 1511.5  48.1  40.7 -27.6   0.878   0.873  16.56     0 15114    0.039   209.20
08 12 2018 14 18 00 00000000 00110100    0.220    0.342    0.083    22    21    22  13.7 1511.6 1511.7  46.9  40.6 -27.7   0.823   0.818  16.61     0 15116    0.407    32.75
